Ticks,z_setpoint,z_actual,z_p,z_i,z_d,w_command,w_actual,w_i,Nabla_command,Nabla_actual,Nabla_p,Nabla_i,Nabla_d,Qv_command,sps_command,Nabla_air,Roll,Pitch,Yaw,Scale Derived Oil Volume,Depth (raw),Temperature,Battery,VOS,RangeTime,RangeDist,USBLAzimuth,USBLElevation,USBLFitError,PositionEasting,PositionNorthing,PositionDepth,AUX0,AUX1,AUX2,AUX3,AUX4,AUX5,AUX6,AUX7,AUX8,AUX9,SrcID,State,VALVE_INDEX,EN_PUMP
1715744652,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2443.5236816,2443.5236816,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6000061,-0.8,993.723877,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744653,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2444.0769043,2444.0769043,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-0.9,991.5249023,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744654,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2444.630127,2444.630127,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6999969,-1.0,989.671875,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744655,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2445.1835937,2445.1835937,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.6999969,-0.9,989.0866699,0.0,21.6000004,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744656,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2445.7363281,2445.7363281,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.6000061,-0.9,988.8266602,0.0,21.5,41.0090179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744657,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2446.2841797,2446.2841797,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-0.8,988.6098633,0.0,21.5,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744658,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2446.8374023,2446.8374023,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.8000031,-0.9,987.9052734,0.0,21.5,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744659,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2447.390625,2447.390625,0.0,0.0,0.0,0.555,199800.0,0.0,-5.8000002,-177.6999969,-0.9,987.5043945,0.0,21.5,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744660,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2447.9438477,2447.9438477,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8999939,-0.9,987.298584,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744661,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2448.4975586,2448.4975586,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8000031,-0.9,986.9516602,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744662,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2449.0505371,2449.0505371,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-0.9,986.583252,0.0,21.6000004,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744663,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2449.6040039,2449.6040039,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0999999,-177.6999969,-0.9,986.5397949,0.0,21.6000004,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744664,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2450.1572266,2450.1572266,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-0.9,985.7375488,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744665,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2450.7104492,2450.7104492,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8999939,-0.8,985.2607422,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744666,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2451.2636719,2451.2636719,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.8000031,-0.9,983.8730469,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744667,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2451.8168945,2451.8168945,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8999939,-0.9,981.9106445,0.0,21.6000004,40.9748726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744668,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2452.3703613,2452.3703613,0.0,0.0,0.0,0.555,199800.0,0.0,-5.9000001,-177.8000031,-1.0,981.1296387,0.0,21.6000004,40.9862556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
1715744669,120.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2452.9233398,2452.9233398,0.0,0.0,0.0,0.555,199800.0,0.0,-6.0,-177.6999969,-0.9,979.8933105,0.0,21.6000004,40.9976387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
